,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
area0,10.16861536281179,44.28378968253968,84.4283950617284,115.60185185185185,122.70748299319726,119.43178294573643,97.56805194805193,23.158756876293634,23.46612890048261,21.47506332777715,32.29642778152647,45.33667715017753,50.267544155191224,41.73623920970981,40.26913671784485,39.04902395517419,43.60828050321435,42.94597226825288,44.21082089500627,35.61396244389538,29.4398845255908,23.805783504031137,21.101177753346867,9.506507574669337
area1,8.44,39.13157894736842,49.833333333333336,58.666666666666664,43.36458333333333,52.857142857142854,44.35353535353536,23.549340986394554,39.535277777777765,36.81642195767195,61.15313355227149,81.81856335754642,97.84425287356322,78.62161689534571,92.07699757869251,86.77807881773403,102.54332122679578,77.69000538068335,80.84948412698412,82.33240740740739,92.98024691358023,85.61545530492899,68.64583333333333,40.26388888888889
area2,6.1083271991166725,22.911764251543673,45.60542776432606,76.16612200435729,107.85595238095239,135.79609929078018,117.2077380952381,50.22728658918479,35.20648358510985,59.01535736529274,73.80840312824431,72.69834908369175,73.17039324157128,57.34067485359718,50.00264020115353,43.73550000007443,39.05172673886453,33.572268420846434,34.10197933093116,25.055046673496346,22.271774008349077,18.48189306048248,15.145294828036716,7.056827660657769
area3,1.8571428571428572,14.160493827160495,29.595238095238095,29.045454545454547,31.444444444444443,88.6,131.56989247311827,96.296875,127.64102564102564,83.42943722943723,104.29512987012987,164.8301886792453,187.3957602339181,204.8317063492063,180.45714285714283,244.62559523809526,231.62333333333336,230.36914893617023,211.7012195121951,177.77765151515152,157.18027210884355,115.93925925925926,77.07936507936508,33.62698412698413
area4,10.846556122448979,50.923719676549865,69.18295454545455,86.11979166666666,74.87380952380951,80.53378378378379,56.292658730158735,16.71691796903661,16.05851429344076,18.688426131072802,26.03540065520135,34.2380096609044,47.90895944333445,34.60901040222247,32.64480366339887,33.75156170497889,32.50396289576437,24.961892854579776,26.505754794884048,28.014137856968738,23.838761816886823,25.46352818749877,18.539487433862426,17.153724747474747
area5,11.070754716981131,74.90925925925927,107.72380952380952,136.90540540540542,129.05641025641026,122.04597701149426,93.10444444444445,38.769438431938426,70.85277898027897,43.29431267791948,58.030095685904506,95.12998351185848,96.49238188010251,79.29592393717392,86.20786768056502,112.2979986217486,120.22592648092647,112.60691512463572,143.35031746031748,128.9432329244829,96.32043604543607,64.30043410293412,55.89846035190862,28.58723809523809
area6,13.572640692640691,61.046072796934865,77.27249757045675,101.38377192982456,115.54729729729729,115.77586206896552,99.80081300813008,54.14995964487489,65.73469696969694,46.14744041089629,78.86918826543825,98.6695706145706,136.46791342916345,82.02161503753898,90.06612241559608,109.07296642083405,115.46521825396825,124.09841639841638,155.02812830687833,102.2008911458911,73.90585816960818,57.572887575387576,41.26195665445666,20.803279424977536
area7,2.3125,26.466666666666665,45.714285714285715,52.888888888888886,45.083333333333336,46.22727272727273,45.90277777777777,42.502252252252255,53.59090909090909,48.197058823529424,66.98641975308641,102.41702898550724,126.56553030303031,117.19242424242424,121.6042483660131,153.14659863945576,134.91631944444444,129.42857142857142,130.74537037037035,115.99549549549552,90.41435185185186,69.29166666666667,57.15656565656566,26.833333333333332
area8,16.41975308641975,64.26190476190476,89.07552083333334,108.97500000000001,84.83680555555556,81.78188405797101,56.49182389937105,17.676275500814963,16.168912753912753,15.535386519941474,22.77968716332687,39.76882857066682,41.09783582158582,29.638617422882138,26.51813380655293,32.028782583157586,32.10840442452285,27.180798082636322,21.726913753887445,23.17072311947312,24.917906075406076,35.2368684148096,23.827328042328038,16.798829701372075
area9,12.884751773049647,65.78373015873015,80.01041666666667,104.73529411764706,98.27083333333333,100.18,81.78285714285714,49.08674886621315,73.20953726123217,52.8382245069745,75.02020803270803,103.38102767602767,100.50571294446294,97.1163215025715,86.81513167388165,96.98099206349204,100.75824895443536,82.45748376623378,94.84183481302124,90.91597883597885,82.95178141303141,70.85960451977402,57.02480158730158,30.898148148148156
